file_id,filename,instrument,telescope,source_observation_date,fits_date_obs_utc,fits_object,shape,resolving_power,exofop_snr,candidate_order_coverage_angstrom,bytes,sha256,source_url,validation
1041566,TIC449197831S-ct20210219_1127.fits,CHIRON,"SMARTS 1.5-m, CTIO",2021-02-19,2021-02-19T01:37:01.4,T0449197831,59x3200x2,80000.0,59.8,5761.26:5745.599-5811.827;6432.95:6398.453-6472.143,1526400,86a80943d93d9bcb1c47a4d10ac4096525fc5b106427d523569d387eb2d153f2,https://exofop.ipac.caltech.edu/tess/get_file.php?id=1041566,valid_fits_target_and_candidate_orders
1041608,TIC449197831S-ct20210304_1117.fits,CHIRON,"SMARTS 1.5-m, CTIO",2021-03-04,2021-03-03T23:58:22.3,T0449197831,59x3200x2,80000.0,58.9,5761.26:5745.577-5811.805;6432.95:6398.428-6472.117,1526400,d1b353bf8323cfe41e616d59ea0b532f0f05bce4f1ccbaf3a3427eed7dcbe867,https://exofop.ipac.caltech.edu/tess/get_file.php?id=1041608,valid_fits_target_and_candidate_orders
197463,TIC0449197831S-ab20210209.fits,TRES,FLWO 1.5-m,2021-02-09,2021-02-09T04:36:41,T0449197831,51x2304,44000.0,32.4,5761.26:5744.973-5858.073;6432.95:6395.711-6521.593,495360,f83e27ebaa18ce416a0c019930c4368ca85a72d27d3735863bfd545f2e69dfa1,https://exofop.ipac.caltech.edu/tess/get_file.php?id=197463,valid_fits_target_and_candidate_orders
200545,TIC0449197831S-ab20210226.fits,TRES,FLWO 1.5-m,2021-02-26,2021-02-26T03:52:33,T0449197831,51x2304,44000.0,62.1,5761.26:5744.963-5858.072;6432.95:6395.700-6521.594,495360,0670e959807576d1e54adfca03c349aa89ea8996341951e3fd5195b9779f902c,https://exofop.ipac.caltech.edu/tess/get_file.php?id=200545,valid_fits_target_and_candidate_orders
