dp_id,program_id,target_name,observed_at_utc,path,bytes,sha256,source_url
ADP.2020-12-07T13:32:58.459,106.21TJ.001,TOI-282,2020-12-06T03:50:02.526,data/harps_followup/ADP.2020-12-07T13_32_58.459.fits,5264640,d3233c82e84f84523f5ccf0ea11d0ef4699aecdf63dbdf31a08fe031e6fda010,https://dataportal.eso.org/dataPortal/file/ADP.2020-12-07T13:32:58.459
ADP.2020-12-21T01:07:42.596,106.21TJ.001,TOI-282,2020-12-20T03:09:09.288,data/harps_followup/ADP.2020-12-21T01_07_42.596.fits,5264640,2b0001a6417e57913af19b93af862985be7da419e512efc2d1eb6c0aca3f589c,https://dataportal.eso.org/dataPortal/file/ADP.2020-12-21T01:07:42.596
ADP.2022-02-18T01:08:20.617,106.21TJ.001,TOI-2458,2022-02-17T01:26:40.202,data/harps_followup/ADP.2022-02-18T01_08_20.617.fits,5264640,d417f9dc0024ef15ba04b1b1e830b347b74e006072a60f4f161845bcbf375caa,https://dataportal.eso.org/dataPortal/file/ADP.2022-02-18T01:08:20.617
ADP.2022-02-20T01:06:53.630,106.21TJ.001,TOI-2458,2022-02-19T01:56:44.921,data/harps_followup/ADP.2022-02-20T01_06_53.630.fits,5264640,cc8200229dc0aa20d27793ee826e2f401650690cfc990a1522d2a1f991a4733d,https://dataportal.eso.org/dataPortal/file/ADP.2022-02-20T01:06:53.630
ADP.2022-02-21T01:01:25.324,106.21TJ.001,TOI-2458,2022-02-20T00:14:55.620,data/harps_followup/ADP.2022-02-21T01_01_25.324.fits,5264640,4bf94498719fa26ca5890acb528d07a631b2a27c522380d8dc5faa7a1e63e119,https://dataportal.eso.org/dataPortal/file/ADP.2022-02-21T01:01:25.324
ADP.2022-10-16T01:01:37.563,1102.C-0923(C),TOI-1054,2022-10-15T00:11:29.969,data/harps_followup/ADP.2022-10-16T01_01_37.563.fits,5261760,7fd7b0578fc3ca244e145dbd058cdb12c9ee2dffe1af8cc64e14421556f02081,https://dataportal.eso.org/dataPortal/file/ADP.2022-10-16T01:01:37.563
